-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        13.45%     235.854ms        98.28%        1.724s     861.917ms       0.000us         0.00%      24.189ms      12.095ms           0 b     -16.49 Mb     110.00 Kb      -1.02 Gb             2  
                        DistributedDataParallel.forward         1.83%      32.028ms         5.76%     101.023ms      16.837ms       0.000us         0.00%      16.659ms       2.776ms           0 b           0 b       1.02 Gb    -571.67 Mb             6  
                                           aten::conv2d         0.03%     577.000us         0.64%      11.141ms     185.683us       0.000us         0.00%      10.781ms     179.683us           0 b           0 b     914.24 Mb      24.60 Mb            60  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%     219.000us         0.22%       3.827ms     191.350us       0.000us         0.00%       7.829ms     391.450us           0 b           0 b    -307.14 Mb    -383.36 Mb            20  
                                   ConvolutionBackward0         0.01%     126.000us         0.21%       3.608ms     180.400us       0.000us         0.00%       7.829ms     391.450us           0 b           0 b      76.22 Mb           0 b            20  
                             aten::convolution_backward         0.10%       1.792ms         0.20%       3.482ms     174.100us       6.613ms        13.46%       7.829ms     391.450us           0 b           0 b      76.22 Mb      72.97 Mb            20  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.01%     128.000us         0.85%      14.938ms     746.900us       0.000us         0.00%       7.818ms     390.900us           0 b           0 b     -70.38 Mb    -419.15 Mb            20  
                 aten::max_pool2d_with_indices_backward         0.02%     272.000us         0.04%     672.000us      33.600us       7.239ms        14.73%       7.818ms     390.900us           0 b           0 b     302.24 Mb     302.24 Mb            20  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%     141.000us         0.08%       1.359ms      67.950us       0.000us         0.00%       7.682ms     384.100us           0 b           0 b    -300.96 Mb    -604.99 Mb            20  
